новый	1217.5	73	
431  	жилой	37.8	2944	
432  	оперативный	37.7	2951	
433  	христианский	37.7	2953	
434  	разнообразный	37.6	2954	
435  	тесный	37.6	2956	
436  	блестящий	37.5	2957	
437  	жестокий	37.5	2961	
438  	плотный	37.5	2962	
439  	четкий	37.5	2964	
440  	публичный	37.4	2967	
441  	исходный	37.1	2985	
442  	социалистический	37.1	2989	
443  	модный	36.9	2999	
444  	ровный	36.9	3002	
445  	нравственный	36.8	3003	
446  	своеобразный	36.8	3005	
447  	успешный	36.8	3007	
448  	благородный	36.7	3008	
449  	священный	36.7	3015	
450  	явный	36.7	3017	
451  	суровый	36.6	3022	
452  	существующий	36.6	3023	
453  	бледный	36.5	3024	
454  	ленинградский	36.3	3041	
455  	ключевой	36.0	3056	
456  	божественный	35.9	3060	
457  	искусственный	35.7	3075	
458  	намерен	35.7	3077	
459  	сумасшедший	35.7	3083	
460  	устойчивый	35.7	3084	
461  	вчерашний	35.6	3087	
462  	коммунистический	35.6	3090	
463  	окончательный	35.6	3092	
464  	взаимный	35.5	3094	
465  	развитой	35.5	3101	
466  	качественный	35.2	3125	
467  	приличный	35.1	3131	
468  	царский	35.0	3142	
469  	железнодорожный	34.9	3147	
470  	серебряный	34.8	3158	
471  	актуальный	34.7	3162	
472  	сплошной	34.7	3167	
473  	выдающийся	34.6	3168	
474  	украинский	34.6	3170	
475  	худой	34.6	3171	
476  	газовый	34.5	3172	
477  	разумный	34.5	3177	
478  	должностной	34.4	3179	
479  	великолепный	34.2	3194	
480  	невидимый	34.1	3210	
481  	нормативный	34.1	3211	
482  	положенный	34.1	3213	
483  	седой	34.1	3215	
484  	автомобильный	34.0	3219	
485  	повышенный	33.9	3235	
486  	справедливый	33.9	3238	
487  	гигантский	33.8	3240	
488  	конституционный	33.8	3242	
489  	подземный	33.8	3244	
490  	давний	33.7	3250	
491  	небесный	33.7	3256	
492  	нефтяной	33.6	3264	
493  	голодный	33.5	3266	
494  	избирательный	33.5	3269	
495  	компьютерный	33.5	3270	
496  	философский	33.5	3278	
497  	двойной	33.4	3281	
498  	процессуальный	33.4	3287	
499  	психический	33.3	3295	
500  	глобальный	33.0	3315	
501  	польский	33.0	3321	
502  	потенциальный	33.0	3322	
503  	коллективный	32.8	3334	
504  	наибольший	32.5	3357	
505  	стеклянный	32.5	3366	
506  	атомный	32.4	3369	
507  	мрачный	32.4	3373	
508  	достаточный	32.2	3390	
509  	отрицательный	32.2	3394	
510  	головной	32.1	3401	
511  	бытовой	32.0	3407	
512  	горький	32.0	3408	
513  	радостный	32.0	3415	
514  	оригинальный	31.9	3423	
515  	революционный	31.9	3424	
516  	типичный	31.9	3426	
517  	трагический	31.9	3427	
518  	утренний	31.9	3428	
519  	сексуальный	31.8	3437	
520  	таинственный	31.6	3452	
521  	таможенный	31.6	3453	
522  	принципиальный	31.5	3457	
523  	удачный	31.4	3465	
524  	чудесный	31.4	3466	
525  	противный	31.3	3475	
526  	вредный	31.2	3482	
527  	книжный	31.2	3485	
528  	начальный	31.2	3486	
529  	почетный	31.2	3493	
530  	правительственный	31.2	3494	
531  	воинский	31.1	3496	
532  	дурной	31.1	3497	
533  	кожаный	31.1	3498	
534  	перспективный	31.1	3500	
535  	ближний	30.9	3518	
536  	выгодный	30.9	3519	
537  	критический	30.9	3522	
538  	экспериментальный	30.9	3528	
539  	торжественный	30.7	3548	
540  	грустный	30.6	3550	
541  	комплексный	30.6	3551	
542  	неплохой	30.6	3553	
543  	жалкий	30.4	3571	
544  	посторонний	30.4	3574	
545  	тогдашний	30.4	3579	
546  	ледяной	30.3	3583	
547  	структурный	30.2	3599	
548  	занятый	30.1	3603	
549  	могучий	30.0	3619	
550  	громадный	29.9	3625	
551  	сталинский	29.9	3630	
552  	сельскохозяйственный	29.8	3637	
553  	славный	29.6	3652	
554  	британский	29.5	3656	
555  	кредитный	29.5	3660	
556  	любопытный	29.5	3661	
557  	оптимальный	29.4	3673	
558  	районный	29.4	3676	
559  	стандартный	29.4	3678	
560  	немалый	29.2	3697	
561  	бессмысленный	29.1	3702	
562  	натуральный	29.1	3704	
563  	негативный	29.1	3705	
564  	плоский	29.1	3709	
565  	сибирский	29.0	3724	
566  	боковой	28.9	3729	
567  	дорожный	28.9	3731	
568  	математический	28.8	3743	
569  	идеологический	28.7	3752	
570  	незаконный	28.7	3754	
571  	авиационный	28.6	3757	
572  	программный	28.6	3767	
573  	самарский	28.6	3769	
574  	базовый	28.4	3780	
575  	биологический	28.4	3781	
576  	гениальный	28.4	3783	
577  	деревенский	28.4	3784	
578  	загадочный	28.4	3785	
579  	грозный	28.3	3792	
580  	проклятый	28.3	3796	
581  	волшебный	28.2	3802	
582  	подводный	28.2	3809	
583  	сырой	28.2	3814	
584  	первичный	28.1	3821	
585  	предстоящий	28.1	3822	
586  	нелепый	28.0	3832	
587  	недовольный	27.9	3839	
588  	осенний	27.8	3851	
589  	пушкинский	27.8	3854	
590  	греческий	27.7	3858	
591  	солидный	27.7	3869	
592  	энергетический	27.7	3871	
593  	всемирный	27.6	3873	
594  	контрольный	27.6	3875	
595  	поэтический	27.6	3881	
596  	симпатичный	27.6	3882	
597  	малейший	27.5	3889	
598  	специфический	27.5	3894	
599  	бурный	27.4	3897	
600  	весенний	27.3	3906	
601  	коммунальный	27.3	3909	
602  	роскошный	27.3	3912	
603  	территориальный	27.3	3913	
604  	неизбежный	27.2	3918	
605  	авторский	27.1	3923	
606  	совершенный	27.1	3935	
607  	напряженный	27.0	3941	
608  	краткий	26.8	3963	
609  	праздничный	26.8	3967	
610  	подходящий	26.7	3977	
611  	неправильный	26.6	3985	
612  	неведомый	26.4	4008	
613  	бесплатный	26.3	4013	
614  	мудрый	26.3	4016	
615  	свойственный	26.3	4024	
616  	силовой	26.3	4025	
617  	вкусный	26.2	4031	
618  	механический	26.2	4034	
619  	ограниченный	26.2	4036	
620  	жуткий	26.1	4048	
621  	петербургский	26.0	4063	
622  	смелый	26.0	4066	
623  	тяжкий	26.0	4068	
624  	жаркий	25.9	4070	
625  	медленный	25.9	4072	
626  	годовой	25.7	4092	
627  	универсальный	25.7	4103	
628  	христов	25.7	4105	
629  	личной	25.6	4110	
630  	преподобный	25.6	4114	
631  	формальный	25.6	4117	
632  	коричневый	25.5	4121	
633  	кровавый	25.5	4122	
634  	либеральный	25.5	4123	
635  	наивный	25.5	4124	
636  	жирный	25.4	4133	
637  	снежный	25.4	4142	
638  	эмоциональный	25.4	4146	
639  	искренний	25.3	4152	
640  	германский	25.2	4163	
641  	медный	25.1	4173	
642  	пермский	25.1	4177	
643  	телевизионный	25.1	4183	
644  	римский	25.0	4191	
645  	секретный	25.0	4192	
646  	благоприятный	24.9	4195	
647  	первоначальный	24.9	4200	
648  	внимательный	24.8	4205	
649  	кремлевский	24.8	4208	
650  	присущий	24.8	4213	
651  	стальной	24.8	4216	
652  	рядовой	24.7	4219	
653  	предвыборный	24.6	4232	
654  	скрытый	24.6	4236	
655  	фантастический	24.6	4239	
656  	безумный	24.5	4240	
657  	благодарный	24.5	4241	
658  	драгоценный	24.4	4253	
659  	осторожный	24.3	4272	
660  	гордый	24.2	4281	
661  	обширный	24.2	4285	
662  	ласковый	24.1	4292	
663  	одетый	24.1	4293	
664  	студенческий	24.1	4298	
665  	автоматический	24.0	4299	
666  	безопасный	24.0	4300	
667  	вольный	24.0	4302	
668  	мобильный	24.0	4304	
669  	невысокий	24.0	4305	
670  	решительный	24.0	4309	
671  	влажный	23.9	4313	
672  	гладкий	23.9	4315	
673  	дурацкий	23.9	4316	
674  	прочный	23.9	4320	
675  	функциональный	23.6	4368	
676  	решающий	23.5	4376	
677  	заработный	23.4	4382	
678  	педагогический	23.4	4388	
679  	хитрый	23.4	4393	
680  	армейский	23.3	4395	
681  	геологический	23.3	4397	
682  	ложный	23.3	4401	
683  	преступный	23.3	4404	
684  	смертный	23.3	4406	
685  	условный	23.3	4409	
686  	жилищный	23.2	4413	
687  	просторный	23.2	4421	
688  	элементарный	23.2	4430	
689  	внезапный	23.1	4433	
690  	привлекательный	23.1	4441	
691  	тупой	23.1	4444	
692  	жидкий	23.0	4450	
693  	покойный	23.0	4454	
694  	усталый	23.0	4460	
695  	коренной	22.9	4464	
696  	мясной	22.9	4465	
697  	актерский	22.8	4478	
698  	скучный	22.8	4490	
699  	исключительный	22.7	4498	
700  	минувший	22.7	4500	
701  	ракетный	22.7	4509	
702  	ученый	22.7	4513	
703  	комсомольский	22.6	4522	
704  	ненужный	22.6	4528	
705  	полевой	22.6	4532	
706  	ленинский	22.5	4541	
707  	почтовый	22.5	4544	
708  	правоохранительный	22.5	4545	
709  	слепой	22.5	4547	
710  	управляющий	22.5	4549	
711  	встречный	22.4	4551	
712  	забавный	22.4	4555	
713  	логический	22.4	4561	
714  	непрерывный	22.4	4563	
715  	отчаянный	22.4	4567	
716  	чуждый	22.4	4574	
717  	корпоративный	22.3	4582	
718  	собачий	22.3	4587	
719  	чудовищный	22.3	4592	
720  	автономный	22.1	4604	
721  	интеллигентный	22.1	4607	
722  	целевой	22.1	4619	
723  	драматический	22.0	4623	
724  	любовный	22.0	4626	
725  	мучительный	22.0	4628	
726  	непростой	22.0	4630	
727  	специализированный	22.0	4634	
728  	товарный	22.0	4636	
729  	бумажный	21.9	4638	
730  	грузинский	21.9	4640	
731  	кадровый	21.9	4643	
732  	откровенный	21.9	4647	
733  	стройный	21.9	4651	
734  	татарский	21.9	4652	
735  	действительный	21.8	4659	
736  	значимый	21.8	4662	
737  	израильский	21.8	4663	
738  	прошедший	21.8	4666	
739  	крохотный	21.7	4678	
740  	олимпийский	21.7	4680	
741  	организационный	21.7	4681	
742  	фактический	21.7	4687	
743  	мамин	21.6	4691	
744  	необыкновенный	21.6	4692	
745  	склонный	21.6	4697	
746  	установленный	21.6	4699	
747  	дневной	21.3	4726	
748  	рациональный	21.3	4731	
749  	светский	21.3	4734	
750  	уютный	21.3	4736	
751  	изящный	21.2	4739	
752  	незначительный	21.2	4743	
753  	архитектурный	21.1	4753	
754  	валютный	21.1	4754	
755  	всевозможный	21.1	4756	
756  	испанский	21.1	4760	
757  	тревожный	21.1	4773	
758  	магнитный	21.0	4779	
759  	милицейский	21.0	4780	
760  	фундаментальный	20.9	4793	
761  	чрезвычайный	20.9	4794	
762  	парижский	20.8	4805	
763  	романтический	20.8	4807	
764  	королевский	20.7	4817	
765  	молодежный	20.7	4818	
766  	наружный	20.7	4819	
767  	новенький	20.7	4820	
768  	этнический	20.7	4831	
769  	вирусный	20.6	4832	
770  	подробный	20.6	4840	
771  	социально-экономический	20.6	4843	
772  	арабский	20.5	4845	
773  	защитный	20.5	4849	
774  	поверхностный	20.5	4855	
775  	средневековый	20.5	4861	
776  	звездный	20.4	4870	
777  	равнодушный	20.4	4878	
778  	передовой	20.3	4894	
779  	сердечный	20.3	4898	
780  	принятый	20.2	4918	
781  	солдатский	20.2	4920	
782  	здешний	20.1	4928	
783  	многолетний	20.1	4931	
784  	срочный	19.9	4975	
785  	альтернативный	19.8	4977	
786  	животный	19.8	4980	
787  	крестьянский	19.8	4985	
788  	молчаливый	19.8	4986	
789  	новейший	19.8	4987	
790  	заинтересованный	19.7	4999	
791  	криминальный	19.7	5000	
792  	уличный	19.7	5008	
793  	шумный	19.7	5009	
794  	академический	19.6	5010	
795  	болезненный	19.6	5012	
796  	грандиозный	19.6	5014	
797  	гуманитарный	19.6	5015	
798  	лошадиный	19.6	5019	
799  	образовательный	19.6	5021	
800  	худший	19.6	5031	
801  	дружеский	19.5	5035	
802  	недостаточный	19.5	5041	
803  	стабильный	19.5	5045	
804  	неизменный	19.4	5057	
805  	образованный	19.4	5058	
806  	октябрьский	19.4	5059	
807  	регулярный	19.4	5070	
808  	относительный	19.3	5081	
809  	парламентский	19.3	5082	
810  	разноцветный	19.3	5084	
811  	всероссийский	19.2	5089	
812  	генетический	19.2	5090	
813  	интенсивный	19.2	5094	
814  	поразительный	19.2	5098	
815  	печатный	19.1	5112	
816  	позитивный	19.1	5114	
817  	славянский	19.1	5117	
818  	эстетический	19.1	5119	
819  	величайший	19.0	5120	
820  	неясный	19.0	5126	
821  	убежденный	19.0	5133	
822  	бешеный	18.9	5137	
823  	женатый	18.9	5141	
824  	роковой	18.9	5151	
825  	газетный	18.8	5161	
826  	неподвижный	18.8	5169	
827  	новогодний	18.8	5170	
828  	садовый	18.8	5173	
829  	локальный	18.7	5177	
830  	резиновый	18.7	5189	
831  	кавказский	18.6	5203	
832  	престижный	18.6	5209	
833  	турецкий	18.6	5216	
834  	казенный	18.5	5223	
835  	саратовский	18.5	5234	
836  	бесполезный	18.4	5239	
837  	молочный	18.4	5247	
838  	трезвый	18.4	5256	
839  	цивилизованный	18.4	5261	
840  	властный	18.3	5263	
841  	иркутский	18.3	5271	
842  	кривой	18.3	5272	
843  	потребительский	18.3	5279	
844  	ручной	18.3	5285	
845  	сомнительный	18.3	5287	
846  	отвратительный	18.2	5298	
847  	пышный	18.2	5301	
848  	аналитический	18.1	5307	
849  	входной	18.1	5309	
850  	колючий	18.1	5313	
851  	неверный	18.1	5316	
852  	офицерский	18.1	5318	
853  	пыльный	18.1	5326	
854  	радикальный	18.1	5327	
855  	немыслимый	18.0	5342	
856  	шахматный	18.0	5354	
857  	дежурный	17.9	5355	
858  	пестрый	17.9	5359	
859  	пищевой	17.9	5361	
860  	энергичный	17.9	5369	
861  	адекватный	17.8	5371	
862  	инженерный	17.8	5378	
863  	пожарный	17.8	5388	
864  	вертикальный	17.7	5395	
865  	киевский	17.7	5400	
866  	крошечный	17.7	5402	
867  	минеральный	17.7	5406	
868  	акционерный	17.6	5423	
869  	былой	17.6	5424	
870  	должный	17.6	5432	
871  	следственный	17.6	5445	
872  	невинный	17.5	5458	
873  	повседневный	17.5	5463	
874  	слышный	17.5	5464	
875  	смутный	17.5	5465	
876  	тюремный	17.5	5472	
877  	финский	17.5	5473	
878  	импортный	17.4	5478	
879  	клинический	17.4	5480	
880  	процентный	17.4	5489	
881  	индийский	17.3	5500	
882  	мутный	17.3	5503	
883  	нехороший	17.3	5504	
884  	системный	17.3	5514	
885  	географический	17.2	5522	
886  	классный	17.2	5525	
887  	тверской	17.2	5538	
888  	промежуточный	17.1	5553	
889  	дипломатический	17.0	5564	
890  	лагерный	17.0	5566	
891  	полноценный	17.0	5569	
892  	прохладный	17.0	5573	
893  	субъективный	17.0	5575	
894  	аккуратный	16.9	5580	
895  	легендарный	16.9	5585	
896  	людской	16.9	5586	
897  	люсин	16.9	5587	
898  	предельный	16.9	5592	
899  	здравый	16.8	5611	
900  	органический	16.8	5616	
901  	порядочный	16.8	5619	
902  	прикладной	16.8	5621	
903  	примитивный	16.8	5622	
904  	растительный	16.8	5625	
905  	чайный	16.8	5631	
906  	возрастной	16.7	5635	
907  	долгосрочный	16.7	5639	
908  	лысый	16.7	5645	
909  	провинциальный	16.7	5658	
910  	смертельный	16.7	5659	
911  	футбольный	16.7	5662	
912  	хрупкий	16.7	5663	
913  	ежегодный	16.6	5668	
914  	колоссальный	16.6	5673	
